borrower_id,sex,age_at_application,civil_status,educational_attainment,monthly_income,monthly_amortization,nominal_rate,everbad_in_12mo
B47,Male,46,Single,Undergraduate degree holder,47000,4773.29116587036,0.1,0
B48,Female,33,Married,HS graduate,37000,4022.88287376999,0.15,0
B49,Male,39,Married,HS graduate,51000,4778.12691105196,0.1,0
B50,Male,43,Married,Non-HS graduate,46000,4135.25523331565,0.15,0
B51,Male,38,Single,Undergraduate degree holder,49000,4257.55374452099,0.05,0
B52,Female,49,Married,Undergraduate degree holder,51000,3988.33846130275,0.05,0
B53,Female,36,Single,Undergraduate degree holder,54000,4155.9943613909,0.05,0
B54,Male,48,Single,Non-HS graduate,43000,3837.5477087467,0.15,1
B55,Female,40,Single,Undergraduate degree holder,47000,3552.72622820932,0.05,0
B56,Male,38,Separated,Undergraduate degree holder,39000,4343.33437577862,0.05,1
B57,Male,35,Married,Undergraduate degree holder,49000,3624.29236721195,0.05,0
B58,Male,41,Single,Undergraduate degree holder,66000,5918.37437600758,0.05,1
B59,Male,40,Single,Some college (Not a degree holder),51000,3720.61983577495,0.1,0
B60,Male,40,Single,Undergraduate degree holder,50000,4964.54553505372,0.1,1
B61,Female,36,Married,Undergraduate degree holder,52000,3750.29705929557,0.05,0
B62,Female,47,Single,HS graduate,50000,4098.72967223148,0.1,0
B63,Male,44,Single,Undergraduate degree holder,47000,4198.54240435492,0.05,0
B64,Female,46,Single,Non-HS graduate,48000,3702.44153162513,0.15,0
B65,Male,60,Single,Undergraduate degree holder,47000,4547.70563795173,0.05,0
B66,Male,34,Single,Some college (Not a degree holder),57000,4102.82812310026,0.1,0
B67,Female,46,Single,Undergraduate degree holder,47000,4212.02856360584,0.05,0
B68,Female,36,Single,HS graduate,52000,5227.41732440897,0.1,1
B69,Female,32,Married,Undergraduate degree holder,58000,4230.79176594339,0.05,0
B70,Female,35,Single,HS graduate,52000,4221.40263969183,0.1,0
B71,Male,38,Married,HS graduate,46000,3521.99201092998,0.1,0
B72,Male,45,Single,Some college (Not a degree holder),50000,3565.30528140472,0.1,0
B73,Female,39,Single,Undergraduate degree holder,51000,3512.44549935154,0.05,0
B74,Male,40,Single,Undergraduate degree holder,43000,5083.25008550688,0.05,1
B75,Female,42,Single,Undergraduate degree holder,54000,3936.35067086104,0.05,0
B76,Female,28,Single,Some college (Not a degree holder),54000,3704.66907119108,0.1,0
B77,Male,38,Married,Undergraduate degree holder,57000,3195.21289203106,0.1,0
B78,Male,40,Single,Undergraduate degree holder,49000,4750.39253516795,0.05,1
B79,Male,36,Single,Undergraduate degree holder,48000,4001.27063543433,0.1,0
B80,Female,47,Married,Some college (Not a degree holder),47000,3960.53764520343,0.1,0
B81,Female,48,Married,Undergraduate degree holder,53000,4103.31111616829,0.05,0
B82,Male,41,Single,Some college (Not a degree holder),56000,4268.58362763429,0.1,0
B83,Male,41,Married,Some college (Not a degree holder),48000,4009.9328764199,0.1,0
B84,Female,51,Single,Undergraduate degree holder,55000,4144.10938667707,0.05,0
B85,Female,43,Married,HS graduate,47000,3806.90947845278,0.1,0
B86,Male,47,Separated,Some college (Not a degree holder),41000,2677.90832693629,0.1,1
B87,Male,41,Married,HS graduate,50000,5739.0435139449,0.1,1
B88,Male,35,Married,HS graduate,39000,4704.61025433068,0.1,1
B89,Male,42,Single,HS graduate,48000,4480.39269712587,0.1,0
B90,Male,42,Single,Some college (Not a degree holder),50000,4124.1175025688,0.1,0
B91,Female,49,Married,Undergraduate degree holder,56000,3678.48676846008,0.05,0
B92,Male,59,Single,Undergraduate degree holder,45000,3817.28820154268,0.05,1
B93,Female,41,Separated,Undergraduate degree holder,48000,3757.56646403218,0.05,0
B94,Female,39,Married,HS graduate,49000,4112.58789228763,0.1,0
B95,Female,46,Single,Undergraduate degree holder,54000,4698.65322542614,0.05,0
B96,Female,41,Married,Undergraduate degree holder,45000,3720.8865111179,0.05,0
B97,Female,47,Single,Undergraduate degree holder,53000,3930.89768121397,0.05,0
B98,Male,45,Married,Undergraduate degree holder,50000,3836.05841274893,0.1,1
B99,Male,40,Single,Some college (Not a degree holder),48000,3758.56613705024,0.1,0
B100,Female,41,Married,Some college (Not a degree holder),52000,3377.8166329368,0.1,0
B101,Female,34,Single,Undergraduate degree holder,51000,3959.67416660741,0.05,0
B102,Male,28,Widowed,Some college (Not a degree holder),45000,3717.48644855888,0.1,1
B103,Male,53,Separated,Undergraduate degree holder,41000,3702.57593596382,0.1,1
B104,Female,42,Single,Some college (Not a degree holder),49000,3071.69541823736,0.1,0
B105,Male,38,Single,Graduate degree holder,52000,4438.60461105697,0.05,0
B106,Female,35,Married,Undergraduate degree holder,48000,4531.69613447957,0.1,0
B107,Female,43,Single,HS graduate,57000,3334.14433778287,0.1,1
B108,Female,37,Married,Undergraduate degree holder,48000,2832.77549664889,0.05,0
B109,Female,46,Single,Undergraduate degree holder,54000,2550.74497064599,0.05,0
B110,Male,44,Single,Some college (Not a degree holder),38000,4731.4002677304,0.1,0
B111,Female,48,Single,Some college (Not a degree holder),56000,3550.47591078973,0.1,0
B112,Female,38,Single,Graduate degree holder,53000,4301.59364922765,0.05,0
B113,Male,35,Single,Some college (Not a degree holder),51000,5353.30189963061,0.1,0
B114,Female,56,Married,Undergraduate degree holder,54000,4203.86266379953,0.1,1
B115,Male,48,Married,Undergraduate degree holder,55000,3840.7058731822,0.05,0
B116,Female,43,Married,Undergraduate degree holder,52000,3525.26357938962,0.05,0
B117,Female,46,Single,Some college (Not a degree holder),41000,3865.72520145487,0.1,1
B118,Female,36,Single,Undergraduate degree holder,38000,2973.19448600024,0.1,0
B119,Female,41,Married,Some college (Not a degree holder),50000,4786.71093246833,0.1,0
B120,Female,28,Married,Undergraduate degree holder,55000,3762.14804053847,0.05,0
B121,Male,32,Single,Undergraduate degree holder,47000,4430.26550101164,0.05,0
B122,Female,39,Widowed,Undergraduate degree holder,58000,3065.77821072409,0.05,0
B123,Female,36,Single,HS graduate,39000,3981.71538265379,0.1,0
B124,Male,39,Married,Undergraduate degree holder,44000,4353.39955410007,0.1,0
B125,Female,38,Married,Undergraduate degree holder,53000,4650.8678524107,0.05,0
B126,Female,37,Single,Undergraduate degree holder,47000,3707.62452126293,0.05,0
B127,Male,53,Widowed,Undergraduate degree holder,41000,4590.65678454365,0.05,0
B128,Female,37,Single,Some college (Not a degree holder),47000,3237.98570327593,0.1,0
B129,Male,45,Single,Undergraduate degree holder,46000,3842.30819041619,0.05,0
B130,Female,44,Single,Undergraduate degree holder,45000,4724.54385275531,0.05,1
B131,Male,57,Separated,Undergraduate degree holder,53000,4396.38518628456,0.05,0
B132,Male,38,Married,Undergraduate degree holder,37000,5202.72019690406,0.05,1
B133,Male,35,Single,HS graduate,49000,4117.95094542473,0.1,0
B134,Female,47,Single,Undergraduate degree holder,45000,3610.94476776477,0.05,0
B135,Male,41,Single,Undergraduate degree holder,60000,4431.97910186685,0.05,0
B136,Male,52,Single,Undergraduate degree holder,45000,3752.50069299377,0.1,0
B137,Female,42,Separated,Undergraduate degree holder,48000,4843.28578886009,0.05,0
B138,Female,59,Single,Undergraduate degree holder,47000,4102.27743447945,0.05,1
B139,Male,39,Single,Undergraduate degree holder,45000,3769.92017240587,0.05,0
B140,Female,38,Single,Undergraduate degree holder,58000,4572.99603858324,0.05,0
B141,Female,46,Single,Undergraduate degree holder,53000,3966.27067860549,0.05,0
B142,Male,39,Married,Non-HS graduate,47000,4509.90606994984,0.1,1
B143,Male,48,Widowed,Some college (Not a degree holder),58000,4639.7580060311,0.1,0
B144,Female,37,Married,Undergraduate degree holder,50000,4172.60518676106,0.05,0
B145,Male,33,Single,Undergraduate degree holder,41000,3281.9980784675,0.1,0
B146,Female,33,Single,Undergraduate degree holder,51000,3474.62767187636,0.05,0
B147,Male,45,Single,Undergraduate degree holder,46000,4293.05896584083,0.05,0
B148,Male,37,Single,Some college (Not a degree holder),37000,4003.83350345791,0.1,0
B149,Female,43,Single,HS graduate,43000,3164.44869679708,0.1,0
B150,Female,46,Single,Undergraduate degree holder,44000,3824.57000653153,0.05,0
B151,Male,38,Single,Undergraduate degree holder,55000,3768.55960136834,0.05,0
B152,Male,45,Single,Undergraduate degree holder,45000,3432.35128949867,0.05,0
B153,Male,48,Married,Some college (Not a degree holder),59000,3582.49705385643,0.1,1
B154,Male,24,Married,HS graduate,47000,3844.21452550372,0.1,0
B155,Female,30,Single,Non-HS graduate,47000,4462.69901769232,0.15,0
B156,Male,48,Married,Undergraduate degree holder,48000,3818.52775781149,0.05,0
B157,Male,34,Single,Some college (Not a degree holder),52000,4820.28360082565,0.1,0
B158,Female,30,Married,Undergraduate degree holder,48000,4331.42544170379,0.05,0
B159,Male,37,Single,Undergraduate degree holder,51000,3450.30579391732,0.1,1
B160,Female,52,Married,Undergraduate degree holder,52000,3211.0880223863,0.05,1
B161,Male,36,Married,Undergraduate degree holder,51000,4196.10504219781,0.05,1
B162,Female,36,Single,Undergraduate degree holder,46000,3419.83101800986,0.1,1
B163,Female,39,Married,Undergraduate degree holder,54000,4721.9349366838,0.1,1
B164,Female,41,Single,Undergraduate degree holder,49000,4232.18610788781,0.05,0
B165,Male,39,Married,Graduate degree holder,50000,3958.77017208297,0.05,0
B166,Female,40,Married,Undergraduate degree holder,53000,3313.12855657768,0.05,0
B167,Female,47,Married,Some college (Not a degree holder),56000,3863.01876751307,0.1,1
B168,Female,47,Single,Undergraduate degree holder,46000,3899.02186274274,0.05,0
B169,Female,29,Married,HS graduate,38000,3993.22843810574,0.1,1
B170,Male,45,Single,Undergraduate degree holder,57000,4002.28268785308,0.05,0
B171,Male,35,Single,Undergraduate degree holder,48000,4274.1921364814,0.1,0
B172,Male,35,Single,Undergraduate degree holder,60000,4476.31182275121,0.1,0
B173,Female,44,Single,Undergraduate degree holder,54000,3779.53390645035,0.05,0
B174,Male,49,Married,Undergraduate degree holder,53000,3944.80794007647,0.05,0
B175,Male,39,Single,Undergraduate degree holder,46000,4586.23565867961,0.05,0
B176,Female,43,Single,Undergraduate degree holder,42000,3618.04980593893,0.1,0
B177,Female,44,Single,Undergraduate degree holder,47000,4205.09515065602,0.05,0
B178,Female,48,Single,Some college (Not a degree holder),44000,4410.5882393501,0.1,1
B179,Female,39,Single,Undergraduate degree holder,39000,4576.36863041917,0.1,1
B180,Male,38,Married,Undergraduate degree holder,52000,3378.12155636358,0.05,0
B181,Male,51,Married,Undergraduate degree holder,47000,3941.44290940033,0.05,0
B182,Male,37,Married,Some college (Not a degree holder),50000,4559.43815966786,0.1,0
B183,Female,43,Single,Undergraduate degree holder,46000,3846.06615401226,0.05,0
B184,Male,44,Single,Undergraduate degree holder,47000,4396.0123216905,0.05,0
B185,Male,45,Single,Non-HS graduate,50000,4367.86657295191,0.15,0
B186,Male,38,Married,Undergraduate degree holder,46000,3748.2080951416,0.05,1
B187,Female,53,Married,Some college (Not a degree holder),45000,3904.91070308006,0.1,0
B188,Female,41,Married,Undergraduate degree holder,51000,4109.25072556132,0.05,0
B189,Male,43,Single,Some college (Not a degree holder),46000,2766.73426870845,0.1,0
B190,Female,38,Married,Non-HS graduate,47000,3967.52822547027,0.15,0
B191,Female,30,Single,Undergraduate degree holder,53000,4221.99564469563,0.05,0
B192,Male,33,Single,Some college (Not a degree holder),48000,4113.37442148979,0.1,0
B193,Female,36,Married,Undergraduate degree holder,39000,4335.47406678851,0.05,1
B194,Male,38,Single,Undergraduate degree holder,41000,4359.52977804036,0.05,0
B195,Male,38,Married,Undergraduate degree holder,54000,4792.01149497355,0.05,0
B196,Male,59,Single,Undergraduate degree holder,57000,4528.38550509954,0.05,0
B197,Female,44,Single,Undergraduate degree holder,49000,3702.00853739073,0.05,0
B198,Female,46,Single,Undergraduate degree holder,53000,4942.69169982328,0.05,0
B199,Male,41,Single,Some college (Not a degree holder),55000,4563.92603181432,0.1,0
B200,Male,40,Single,Undergraduate degree holder,59000,4972.33814428907,0.05,0
B201,Female,44,Single,Undergraduate degree holder,45000,3742.73558644317,0.05,1
B202,Male,28,Single,Some college (Not a degree holder),45000,3787.19658258011,0.1,1
B203,Male,39,Single,Undergraduate degree holder,56000,4327.69545825321,0.05,0
B204,Male,51,Married,Undergraduate degree holder,42000,4363.38076730483,0.05,0
B205,Female,42,Married,Undergraduate degree holder,57000,3624.05804850729,0.05,0
B206,Female,51,Single,Undergraduate degree holder,50000,3446.90876860154,0.05,0
B207,Male,42,Single,Undergraduate degree holder,35000,5101.92327502681,0.1,1
B208,Female,33,Single,Undergraduate degree holder,45000,3656.21299746856,0.05,1
B209,Male,50,Single,Undergraduate degree holder,45000,4343.25595211316,0.1,0
B210,Female,36,Single,Undergraduate degree holder,52000,3843.76596127844,0.05,0
B211,Male,35,Married,Undergraduate degree holder,45000,3957.43273317018,0.1,1
B212,Female,44,Single,HS graduate,37000,5407.40555797417,0.1,1
B213,Male,41,Separated,Undergraduate degree holder,45000,4503.4514110655,0.05,1
B214,Female,44,Single,Undergraduate degree holder,57000,3240.9508570265,0.05,0
B215,Female,43,Single,Undergraduate degree holder,48000,3389.28181693025,0.05,0
B216,Male,45,Single,Some college (Not a degree holder),55000,3896.61099722582,0.1,0
B217,Male,37,Single,Undergraduate degree holder,51000,3744.32272093181,0.05,0
B218,Female,48,Single,Undergraduate degree holder,66000,4241.26642619432,0.1,0
B219,Male,45,Single,Graduate degree holder,39000,3658.81691804562,0.05,0
B220,Male,52,Married,HS graduate,44000,3358.05762989769,0.1,0
B221,Male,32,Single,Undergraduate degree holder,52000,3999.26938322478,0.05,0
B222,Female,58,Married,Undergraduate degree holder,56000,4531.15038261852,0.05,0
B223,Male,57,Married,Undergraduate degree holder,40000,3984.88065333023,0.05,0
B224,Male,40,Single,Undergraduate degree holder,49000,3703.74984240171,0.05,0
B225,Male,42,Single,Undergraduate degree holder,53000,4030.74968801608,0.05,0
B226,Male,43,Married,Undergraduate degree holder,44000,3584.09288350804,0.1,0
B227,Male,49,Single,Undergraduate degree holder,49000,3754.65094161502,0.05,0
B228,Female,28,Married,Some college (Not a degree holder),45000,4178.8825901809,0.1,0
B229,Female,39,Single,Undergraduate degree holder,49000,3767.92692794775,0.05,0
B230,Male,37,Married,Non-HS graduate,43000,4904.3890795384,0.15,0
B231,Female,41,Single,Non-HS graduate,44000,4480.94639798002,0.1,0
B232,Male,37,Married,Some college (Not a degree holder),45000,3421.876419223,0.1,0
B233,Female,42,Single,Undergraduate degree holder,41000,4185.12528859934,0.05,0
B234,Female,54,Widowed,Undergraduate degree holder,47000,4103.78896734105,0.05,0
B235,Female,22,Married,Some college (Not a degree holder),50000,5433.60415643616,0.1,0
B236,Male,41,Single,Undergraduate degree holder,52000,4705.86679587328,0.05,0
B237,Female,48,Single,Undergraduate degree holder,50000,3035.11251745992,0.05,0
B238,Female,39,Married,Undergraduate degree holder,40000,4069.86720044925,0.1,1
B239,Male,47,Single,Undergraduate degree holder,53000,4647.29816720089,0.1,0
B240,Male,42,Divorced,Undergraduate degree holder,41000,4442.87219354519,0.05,0
B241,Female,53,Married,Undergraduate degree holder,50000,3646.81028817062,0.05,0
B242,Female,49,Single,Some college (Not a degree holder),48000,4338.53309440075,0.1,0
B243,Female,33,Single,Some college (Not a degree holder),38000,4886.88112426118,0.1,1
B244,Male,40,Divorced,Undergraduate degree holder,50000,3907.79443317521,0.05,0
B245,Male,37,Single,Undergraduate degree holder,48000,4993.96143106928,0.05,0
B246,Male,43,Married,Undergraduate degree holder,45000,4185.57764975669,0.05,0
B247,Male,45,Single,Undergraduate degree holder,40000,3351.46735668126,0.05,1
B248,Male,34,Married,Undergraduate degree holder,53000,4384.30637103337,0.05,0
B249,Female,40,Married,Undergraduate degree holder,44000,2844.15710935178,0.05,0
B250,Male,37,Single,Undergraduate degree holder,53000,3642.69453168996,0.05,0
B251,Male,43,Married,Undergraduate degree holder,46000,4123.92404712947,0.05,0
B252,Male,46,Married,Undergraduate degree holder,53000,3716.92127165107,0.05,0
B253,Male,42,Single,Undergraduate degree holder,46000,3365.85917510762,0.05,0
B254,Male,35,Single,Some college (Not a degree holder),44000,3761.4358472186,0.1,1
B255,Male,31,Married,Undergraduate degree holder,46000,3388.94336628578,0.05,0
B256,Male,34,Divorced,Undergraduate degree holder,55000,5038.88293122538,0.05,0
B257,Female,43,Single,Undergraduate degree holder,47000,3971.58281615257,0.1,0
B258,Female,41,Single,Undergraduate degree holder,46000,4781.74036275871,0.1,0
B259,Male,36,Married,Undergraduate degree holder,48000,4631.87139072647,0.1,0
B260,Female,38,Separated,Undergraduate degree holder,61000,3685.26972051683,0.05,0
B261,Female,47,Single,Undergraduate degree holder,56000,4184.58163667791,0.1,0
B262,Female,34,Single,Some college (Not a degree holder),51000,4258.58716995718,0.1,0
B263,Male,35,Married,Graduate degree holder,48000,3638.23489349773,0.05,0
B264,Male,46,Married,Undergraduate degree holder,52000,4521.5338407754,0.05,0
B265,Female,55,Single,Undergraduate degree holder,55000,4133.22659161769,0.05,0
B266,Female,50,Single,Undergraduate degree holder,55000,4551.8528011158,0.05,0
B267,Male,35,Single,Some college (Not a degree holder),42000,3852.96232446248,0.1,0
B268,Female,42,Single,Undergraduate degree holder,50000,3460.44788670698,0.1,1
B269,Male,37,Single,Undergraduate degree holder,51000,3389.210081241,0.05,0
B270,Male,31,Single,Graduate degree holder,51000,4761.16595682336,0.05,0
B271,Male,50,Single,Graduate degree holder,53000,3920.3094122923,0.05,0
B272,Female,41,Separated,Undergraduate degree holder,49000,3915.01387821766,0.05,0
B273,Female,41,Married,Non-HS graduate,43000,3957.54853471723,0.1,1
B274,Male,54,Married,Undergraduate degree holder,51000,3706.92647221026,0.05,0
B275,Female,43,Single,Undergraduate degree holder,35000,5548.61524516571,0.05,1
B276,Female,36,Single,HS graduate,61000,3725.09831801987,0.1,0
B277,Male,41,Single,Undergraduate degree holder,53000,3956.44484533002,0.05,0
B278,Male,54,Married,Undergraduate degree holder,38000,3457.82177640819,0.05,1
B279,Female,40,Single,Some college (Not a degree holder),41000,3331.8118409641,0.1,0
B280,Female,40,Single,Undergraduate degree holder,51000,3985.33061198233,0.1,0
B281,Female,35,Married,HS graduate,51000,3021.38707863071,0.1,0
B282,Male,41,Single,Some college (Not a degree holder),45000,4017.99287496138,0.1,0
B283,Female,39,Single,Graduate degree holder,52000,2908.28953955685,0.05,0
B284,Female,43,Single,Undergraduate degree holder,54000,4777.90137240279,0.05,0
B285,Male,50,Single,Some college (Not a degree holder),44000,3231.08984812074,0.1,1
B286,Female,38,Single,Undergraduate degree holder,53000,3863.9881072955,0.05,0
B287,Male,30,Single,Undergraduate degree holder,49000,3633.93698421609,0.05,0
B288,Female,42,Divorced,Undergraduate degree holder,47000,3910.91316821039,0.05,0
B289,Male,44,Single,Some college (Not a degree holder),50000,4132.17779203753,0.1,0
B290,Female,35,Single,Graduate degree holder,41000,3850.90302491623,0.05,0
B291,Female,51,Married,HS graduate,40000,3951.97699225432,0.1,1
B292,Male,45,Single,Undergraduate degree holder,53000,3996.30012572689,0.05,0
B293,Female,41,Married,Undergraduate degree holder,54000,4486.07104190001,0.05,0
B294,Female,38,Single,Non-HS graduate,43000,3724.16747637792,0.15,1
B295,Male,54,Single,HS graduate,52000,3411.60716730534,0.1,0
B296,Male,32,Single,Undergraduate degree holder,43000,3916.33501427757,0.05,0
B297,Male,42,Married,Undergraduate degree holder,52000,4418.19784500334,0.05,0
B298,Male,39,Widowed,Undergraduate degree holder,53000,3036.13742224786,0.05,0
B299,Male,49,Married,Undergraduate degree holder,50000,4743.67933715109,0.05,0
B300,Male,38,Single,Undergraduate degree holder,49000,4512.73053147877,0.1,1
B301,Male,43,Married,Undergraduate degree holder,46000,4372.6391197634,0.05,0
B302,Female,47,Single,Some college (Not a degree holder),48000,5376.52980532361,0.1,1
B303,Male,55,Single,Non-HS graduate,44000,4424.51646953461,0.15,1
B304,Female,49,Single,HS graduate,44000,3375.17796864562,0.1,1
B305,Male,26,Married,Undergraduate degree holder,48000,4976.94591724833,0.05,0
B306,Male,42,Single,Undergraduate degree holder,47000,5139.39770608629,0.1,0
B307,Male,45,Single,Some college (Not a degree holder),49000,3561.89423939918,0.1,0
B308,Female,42,Single,Undergraduate degree holder,34000,4668.45581133111,0.1,1
B309,Male,35,Single,Undergraduate degree holder,57000,4210.61516658303,0.05,0
B310,Male,39,Married,Undergraduate degree holder,50000,3910.90265148705,0.1,0
B311,Male,44,Single,Non-HS graduate,46000,3909.41723876412,0.15,1
B312,Female,50,Married,Undergraduate degree holder,51000,4959.48706069997,0.05,1
B313,Male,43,Married,Undergraduate degree holder,61000,3604.93537596048,0.05,0
B314,Female,39,Separated,HS graduate,55000,3479.24176399725,0.1,0
B315,Male,33,Married,Undergraduate degree holder,46000,4641.90442012856,0.05,0
B316,Male,38,Single,Undergraduate degree holder,38000,4262.01776342046,0.05,1
B317,Male,51,Married,Undergraduate degree holder,43000,5191.4048920221,0.05,1
B318,Male,39,Separated,Undergraduate degree holder,48000,4303.68308884875,0.05,0
B319,Male,52,Single,Undergraduate degree holder,47000,3689.60303458557,0.05,0
B320,Female,51,Single,Some college (Not a degree holder),49000,3390.66549434967,0.1,0
B321,Male,38,Single,Undergraduate degree holder,55000,4049.96715783421,0.1,0
B322,Female,44,Single,Non-HS graduate,44000,4424.4811037773,0.15,0
B323,Male,35,Single,Some college (Not a degree holder),47000,3616.82262780538,0.1,0
B324,Female,42,Single,HS graduate,48000,4642.48662849764,0.1,0
B325,Female,37,Married,Some college (Not a degree holder),46000,4343.98883652586,0.1,1
B326,Male,38,Married,Undergraduate degree holder,40000,4184.87686819151,0.05,1
B327,Male,42,Single,Some college (Not a degree holder),43000,4457.56241248212,0.1,0
B328,Male,39,Married,Undergraduate degree holder,54000,3538.13429443732,0.1,1
B329,Male,34,Single,Some college (Not a degree holder),51000,3864.82959730634,0.1,0
B330,Female,43,Single,Undergraduate degree holder,54000,3191.31396725209,0.05,0
B331,Male,61,Single,Undergraduate degree holder,54000,4525.09279736519,0.05,0
B332,Male,50,Single,Undergraduate degree holder,49000,4309.58300810166,0.05,0
B333,Female,50,Married,Undergraduate degree holder,48000,3179.20874983783,0.05,0
B334,Male,39,Married,Undergraduate degree holder,51000,4252.31126694228,0.05,0
B335,Male,46,Single,Non-HS graduate,47000,3798.40807344197,0.15,0
B336,Male,41,Single,HS graduate,58000,4241.25409646497,0.1,0
B337,Female,45,Separated,Undergraduate degree holder,46000,4054.14359425134,0.05,1
B338,Female,53,Widowed,Graduate degree holder,46000,4358.7137129239,0.05,0
B339,Male,45,Married,Undergraduate degree holder,45000,4125.41965289366,0.05,1
B340,Female,41,Single,Graduate degree holder,46000,3695.34912846166,0.05,0
B341,Female,52,Single,Undergraduate degree holder,56000,3111.26065210972,0.05,0
B342,Male,60,Married,Undergraduate degree holder,45000,4971.28850016025,0.05,0
B343,Male,32,Married,Undergraduate degree holder,51000,3375.6691648332,0.05,1
B344,Female,33,Single,Undergraduate degree holder,48000,4819.27680815743,0.05,1
B345,Male,30,Single,Graduate degree holder,46000,5229.64772930233,0.05,0
B346,Female,39,Single,Undergraduate degree holder,46000,5307.86838556255,0.05,1
B347,Female,42,Single,Non-HS graduate,45000,3879.47429092169,0.15,1
B348,Female,56,Separated,Undergraduate degree holder,51000,4252.9080843105,0.05,1
B349,Female,59,Divorced,Some college (Not a degree holder),50000,3832.54161592176,0.1,0
B350,Female,42,Single,Undergraduate degree holder,43000,4247.51800612128,0.05,1
B351,Female,40,Single,Undergraduate degree holder,52000,3324.40298551607,0.05,0
B352,Male,36,Widowed,Undergraduate degree holder,43000,5047.97461720659,0.1,1
B353,Male,42,Single,Undergraduate degree holder,39000,5428.93362357567,0.1,1
B354,Female,32,Single,Undergraduate degree holder,50000,3340.31556935796,0.05,0
B355,Male,41,Single,Undergraduate degree holder,50000,4058.21479165353,0.1,0
B356,Female,46,Single,Undergraduate degree holder,47000,4344.14915030552,0.05,0
B357,Female,51,Single,Undergraduate degree holder,53000,4054.30989648483,0.05,1
B358,Female,40,Single,Undergraduate degree holder,53000,3757.2520169092,0.05,0
